qlet	Birt`h order (within pregnancy)
kr390	J1: Child has been very sad/tearful/miserable in past month
kr391	J1a: Child was miserable nearly every day for a period in past month
kr392	J1b: Child was miserable for most of the day during miserable period
kr393	J1c: Duration of miserable period
kr394	J1d: Cause of child's miserableness known
kr396	J1f: Degree to which child could be cheered up during miserable period
kr397	J2: Child has been very grumpy/irritable in past month
kr398	J3a: Child was irritable nearly every day for a period in past month
kr399	J3b: Child was irritable for most of the day during irritable period
kr400	J3c: Duration of irritable period
kr401	J3d: Cause of child's irritability known
kr403	J3f: Degree to which child's irritability could be improved
kr410	J5a: Child lacked energy in past month
kr413	J5d: Child found it hard to get to sleep in past month
kr414	J5e: Child slept too much in past month
kr415	J5f: Child was frequently agitated for a period in past month
kr416	J5g: Child frequently felt worthless/guilty for a period in past month
kr417	J5h: Child found it unusually hard to concentrate for a period in past month
kr418	J5i: Child thought about death a lot in past month
kr419	J5j: Child talked about harming/killing self in past month
kr420	J5k: Child tried to harm/kill self in past month
kr421	J5l: Child tried to harm/kill self in lifetime
kr423	J6: Degree to which moods upset child
kr424	J7a: Degree to which child's moods interfered with family relationships
kr425	J7b: Degree to which child's moods interfered with making friends
kr426	J7c: Degree to which child's moods interfered with school/learning
kr427	J7d: Degree to which child's moods interfered with playing/hobbies
kr428	J8: Degree to which child's moods have burdened the family
kr435	K1: Child has problems with overactivity / poor concentration
kr436	K2a: Degree to which child often fidgeted in past 6 months relative to peers
kr436a	DV: Child often fidgeted more than peers in past 6 months
kr437	K2b: Degree to which child found it hard to sit down for long in past 6 months relative to peers
kr437a	DV: Child found it hard to sit down for long more than peers in past 6 months
kr438	K2c: Degree to which child ran or climbed about illicitly in past 6 months relative to peers
kr438a	DV: Child ran or climbed about illicitly more than peers in past 6 months
kr439	K2d: Degree to which child found it hard to play quietly in past 6 months relative to peers
kr439a	DV: Child found it hard to play quietly more than peers in past 6 months
kr440	K2e: Degree to which child found it hard to calm down in past 6 months relative to peers
kr440a	DV: Child found it hard to calm down more than peers in past 6 months
kr441	K3a: Degree to which child often blurted out answers in past 6 months relative to peers
kr441a	DV: Child often blurted out answers more than peers in past 6 months
kr442	K3b: Degree to which child found it hard to wait own turn in past 6 months relative to peers
kr442a	DV: Child found it hard to wait own turn more than peers in past 6 months
kr443	K3c: Degree to which child often butted into conversations/games in past 6 months relative to peers
kr443a	DV: Child often butted into conversations/games more than peers in past 6 months
kr444	K3d: Degree to which child often went on talking when asked to stop in past 6 months relative to peers
kr444a	DV: Child often went on talking when asked to stop more than peers in past 6 months
kr448	K4a: Degree to which child often made careless mistakes in past 6 months relative to peers
kr448a	DV: Child often made careless mistakes more than peers in past 6 months
kr449	K4b: Degree to which child often lost interest in activities in past 6 months relative to peers
kr449a	DV: Child often lost interest in activities more than peers in past 6 months
kr450	K4c: Degree to which child often didn't listen when addressed in past 6 months relative to peers
kr450a	DV: Child often didn't listen when addressed more than peers in past 6 months
kr451	K4d: Degree to which child often didn't finish a job properly in past 6 months relative to peers
kr451a	DV: Child often didn't finish a job properly more than peers in past 6 months
kr452	K4e: Degree to which child often found it hard to get organised in past 6 months relative to peers
kr452a	DV: Child often found it hard to get organised more than peers in past 6 months
kr453	K4f: Degree to which child often tried to get out of activities involving thought in past 6 months relative to peers
kr453a	DV: Child often tried to get out of activities involving thought more than peers in past 6 months
kr454	K4g: Degree to which child often lost things needed for school in past 6 months relative to peers
kr454a	DV: Child often lost things needed for school more than peers in past 6 months
kr455	K4h: Degree to which child was easily distracted in past 6 months relative to peers
kr455a	DV: Child was easily distracted more than peers in past 6 months
kr456	K4i: Degree to which child was often forgetful in past 6 months relative to peers
kr456a	DV: Child was often forgetful more than peers in past 6 months
kr462c	DV: Number of missing attention/activity symptoms components
kr463	K5a: Degree to which teacher complained about child's overactivity in past 6 months
kr463a	DV: Teacher complained about child's overactivity in past 6 months
kr464	K5b: Degree to which teacher complained about child's poor concentration in past 6 months
kr464a	DV: Teacher complained about child's poor concentration in past 6 months
kr465	K5c: Degree to which teacher complained about child's impulsiveness in past 6 months
kr465a	DV: Teacher complained about child's impulsiveness in past 6 months
kr470	K6: Child's attention/activity problems have been present for much of life
kr471	K7: Age attention/activity problems started
kr472	K8: Degree to which attention/activity problems upset child
kr473	K9a: Degree to which child's attention/activity problems interfered with family relationships
kr474	K9b: Degree to which child's attention/activity problems interfered with making friends
kr475	K9c: Degree to which child's attention/activity problems interfered with school/learning
kr476	K9d: Degree to which child's attention/activity problems interfered with playing/hobbies
kr477	K10: Degree to which child's attention/activity problems have burdened the family
kr481	L2a: Degree to which child has had severe temper tantrums in past 6 months relative to peers
kr481a	DV: Child has had severe temper tantrums more than peers in past 6 months
kr482	L2b: Degree to which child has argued with grown-ups in past 6 months relative to peers
kr482a	DV: Child has argued with grown-ups more than peers in past 6 months
kr483	L2c: Degree to which child has ignored rules / been disobedient in past 6 months relative to peers
kr483a	DV: Child has ignored rules / been disobedient more than peers in past 6 months
kr484	L2d: Degree to which child has deliberately annoyed people in past 6 months relative to peers
kr484a	DV: Child has deliberately annoyed people more than peers in past 6 months
kr485	L2e: Degree to which child has blamed others for own mistakes in past 6 months relative to peers
kr485a	DV: Child has blamed others for own mistakes more than peers in past 6 months
kr486	L2f: Degree to which child has been easily annoyed in past 6 months relative to peers
kr486a	DV: Child has been easily annoyed more than peers in past 6 months
kr487	L2g: Degree to which child has been angry & resentful in past 6 months relative to peers
kr487a	DV: Child has been angry & resentful more than peers in past 6 months
kr488	L2h: Degree to which child has been spiteful in past 6 months relative to peers
kr488a	DV: Child has been spiteful more than peers in past 6 months
kr489	L2i: Degree to which child has tried to get revenge on people in past 6 months relative to peers
kr489a	DV: Child has tried to get revenge on people more than peers in past 6 months
kr503	L9a: Child has told lies to obtain objects/favours or to avoid duties in past 12 months
kr503a	DV: Child has possibly told lies to obtain objects/favours or to avoid duties in past 12 months
kr504	L9a1: Child has been definitely telling lies to obtain objects/favours or to avoid duties for past 6 months
kr505	L9b: Frequency child has started fights with non-siblings in past 12 months
kr505a	DV: Child has started fights with non-siblings in past 12 months
kr506	L9b1: Child has been often starting fights with non-siblings for past 6 months
kr507	L9c: Frequency child has bullied/threatened people in past 12 months
kr507a	DV: Child has bullied/threatened people in past 12 months
kr508	L9c1: Child has been often bullying/threatening people for past 6 months
kr509	L9d: Frequency child has stayed out later than allowed in past 12 months
kr509a	DV: Child has stayed out later than allowed in past 12 months
kr510	L9d1: Child has been often staying out later than allowed for past 6 months
kr511	L9e: Child has stolen things in past 12 months
kr511a	DV: Child has possibly stolen things in past 12 months
kr512	L9e1: Child has definitely stolen things in past 6 months
kr513	L9f: Frequency child has run away / stayed away all night without permission in past 12 months
kr513a	DV: Child has run away / stayed away all night without permission in past 12 months
kr514	L9f1: Child has run away / stayed away all night without permission in past 6 months
kr515	L9g: Child has often played truant in past 12 months
kr515a	DV: Child has possibly often played truant in past 12 months
kr516	L9g1: Child has definitely often played truant in past 6 months
kr530	M1a: Respondent had serious worries about child's speech development in their first 3 years of life
kr531	M1a1: Suspected speech development problem has cleared up completely
kr532	M1b: Respondent had serious worries about child's social interactions in their first 3 years of life
kr533	M1b1: Suspected social interaction problem has cleared up completely
kr534	M1c: Respondent had serious worries about child's hard-to-interpret odd rituals/habits in their first 3 years of life
kr535	M1c1: Suspected ritual/habit problems have cleared up completely
kr538	M2: Child currently has uncontrollable tics or twitches
kr539	M3a: Child was unaware of other people's feelings over past 6 months
kr539a	DV: Child was unaware of other people's feelings over past 6 months (Y/N)
kr540	M3b: Child did not realise when others were upset/angry over past 6 months
kr540a	DV: Child did not realise when others were upset/angry over past 6 months (Y/N)
kr541	M3c: Child did not notice the effect of own behaviour on other family members over past 6 months
kr541a	DV: Child did not notice the effect of own behaviour on other family members over past 6 months (Y/N)
kr542	M3d: Child's behaviour often disrupted normal family life over past 6 months
kr542a	DV: Child's behaviour often disrupted normal family life over past 6 months (Y/N)
kr543	M3e: Child was very demanding of other people's time over past 6 months
kr543a	DV: Child was very demanding of other people's time over past 6 months (Y/N)
kr544	M3f: Child was difficult to reason with when upset over past 6 months
kr544a	DV: Child was difficult to reason with when upset over past 6 months (Y/N)
kr545	M3g: Child did not seem to understand social skills over past 6 months
kr545a	DV: Child did not seem to understand social skills over past 6 months (Y/N)
kr546	M3h: Child did not pick up on body language over past 6 months
kr546a	DV: Child did not pick up on body language over past 6 months (Y/N)
kr547	M3i: Child did not understand how to behave when out over past 6 months
kr547a	DV: Child did not understand how to behave when out over past 6 months (Y/N)
kr548	M3j: Child did not realise people were offended by own behaviour over past 6 months
kr548a	DV: Child did not realise people were offended by own behaviour over past 6 months (Y/N)
kr549	M3k: Child did not respond when told to do something over past 6 months
kr549a	DV: Child did not respond when told to do something over past 6 months (Y/N)
kr550	M3l: Child did not follow commands unless carefully worded over past 6 months
kr550a	DV: Child did not follow commands unless carefully worded over past 6 months (Y/N)
kr560	N1: Type of school child attends
kr561	N2a: Child has problems that school should make / has made special arrangements for
kr563	N2b1: Child has learning difficulties requiring special arrangements at school
kr564	N2b2: Child has speech problems requiring special arrangements at school
kr565	N2b3: Child has hearing problems requiring special arrangements at school
kr566	N2b4: Child has eyesight problems requiring special arrangements at school
kr567	N2b5: Child has physical problems requiring special arrangements at school
kr569	N2b6: Child has reading difficulties requiring special arrangements at school
kr570	N2b7: Child has emotional/behavioural problems requiring special arrangements at school
kr571	N2b8: Child has other problems requiring special arrangements at school
kr610	N8a: Child has ever had speech/language therapy
kr611	N8b: Child's difficulties improved as a result of speech/language therapy
kr612	N8c: Child is currently having speech/language therapy
kr613	N8d: Respondent thinks child should still be receiving speech/language therapy
kr620	N10a: Frequency child looks forward to going to school
kr620a	DV: Child usually looks forward to going to school
kr621	N10b: Frequency child enjoys school
kr621a	DV: Child usually enjoys school
kr622	N10c: Frequency child is stimulated by school
kr622a	DV: Child is usually stimulated by school
kr623	N10d: Frequency child is frightened by school
kr623a	DV: Child is usually frightened by school
kr624	N10e: Frequency child talks about friends at school
kr624a	DV: Child usually talks about friends at school
kr625	N10f: Frequency child seems bored by school
kr625a	DV: Child usually seems bored by school
kr626	N10g: Frequency child likes teacher(s)
kr626a	DV: Child usually likes teacher(s)
kr630	N11a: Degree to which child likes reading at school
kr630a	DV: Child likes reading at school
kr631	N11b: Degree to which child likes maths at school
kr631a	DV: Child likes maths at school
kr632	N11c: Degree to which child likes writing at school
kr632a	DV: Child likes writing at school
kr633	N11d: Degree to which child likes games at school
kr633a	DV: Child likes games at school
kr634	N11e: Degree to which child likes discussion at school
kr634a	DV: Child likes discussion at school
kr635	N11f: Degree to which child likes other activities at school
kr635a	DV: Child likes other activities at school
kr800	DV: DAWBA DSM-IV clinical diagnosis - Combined ADHD
kr801	DV: DAWBA DSM-IV clinical diagnosis - Inattentive ADHD
kr802	DV: DAWBA DSM-IV clinical diagnosis - Hyperactive-impulsive ADHD
kr803	DV: DAWBA DSM-IV clinical diagnosis - ADHD disorder status
kr803a	DV: DAWBA DSM-IV clinical diagnosis - Any ADHD disorder
kr810	DV: DAWBA DSM-IV clinical diagnosis - Oppositional defiant disorder
kr811	DV: DAWBA DSM-IV clinical diagnosis - Conduct disorder
kr812	DV: DAWBA DSM-IV clinical diagnosis - Disruptive behaviour disorder NOS
kr813	DV: DAWBA DSM-IV clinical diagnosis - Oppositional-conduct disorder status
kr813a	DV: DAWBA DSM-IV clinical diagnosis - Any oppositional-conduct disorder
kr815	DV: DAWBA DSM-IV clinical diagnosis - Pervasive development disorder
kr820	DV: DAWBA DSM-IV clinical diagnosis - Separation anxiety disorder
kr821	DV: DAWBA DSM-IV clinical diagnosis - Specific phobia
kr822	DV: DAWBA DSM-IV clinical diagnosis - Social phobia
kr823	DV: DAWBA DSM-IV clinical diagnosis - Posttraumatic stress disorder
kr824	DV: DAWBA DSM-IV clinical diagnosis - Obsessive-compulsive disorder
kr825	DV: DAWBA DSM-IV clinical diagnosis - Generalized anxiety disorder
kr826	DV: DAWBA DSM-IV clinical diagnosis - Anxiety disorder NOS
kr827	DV: DAWBA DSM-IV clinical diagnosis - Number of anxiety disorders
kr827a	DV: DAWBA DSM-IV clinical diagnosis - Any anxiety disorder
kr830	DV: DAWBA DSM-IV clinical diagnosis - Major depressive disorder
kr831	DV: DAWBA DSM-IV clinical diagnosis - Depressive disorder NOS
kr832	DV: DAWBA DSM-IV clinical diagnosis - Depressive disorder status
kr832a	DV: DAWBA DSM-IV clinical diagnosis - Any depressive disorder
kr980	O1a: Questionnaire completed by mother
kr981	O1b: Questionnaire completed by father
kr982	O1c: Questionnaire completed by study child
kr983	O1d: Questionnaire completed by someone else
kr984	DV: Number of contributors to questionnaire
kr985	DV: Questionnaire completed by...
kr990	O2: Date questionnaire completed - month
kr991a	DV: Age of child at completion (months)
kr991b	DV: Age of child at completion (weeks)
kr991c	DV: Assumptions made in calculating child's age at completion
ks0007	Questionnaire completed (as of 31/07/02)
ks0007a	Data available (as of 31/07/02)
ks0008	Questionnaire version
ks4020	D3a: Child has been thought to have a speech problem at some time
ks4021	D3b: Child has been seen by a speech therapist
ks4022	D3b1: Age in years child saw speech specialist
ks4024	D3c: Still worried about childs speech
ks4030	D4a: Child ever thought to have problem with clumsiness/coordination
ks4031	D4b: Child seen by specialist for clumsiness/coordination
ks4032	D4c: Age in years child saw specialist for clumsiness/coordination
ks4034	D4e: Still worried about clumsiness/coordination
ks4040	D5a: Child ever thought to have a problem with other aspects of development
ks4041	D5b: Child seen by specialist for other aspect of development
ks4042	D5c: Age in years child saw specialist for other aspect of development
ks4044	D5e: Still worried about other aspect of development
ks4050	D6a: Child ever thought to have behaviour/personality problem
ks4051	D6b: Child seen by specialist for behaviour/personality problem
ks4052	D6c: Age in years child saw specialist for behaviour/personality problem
ks4054	D6e: Still worried about behaviour/personality problem
ks9980	F1a: Questionnaire completed by mother
ks9981	F1b: Questionnaire completed by father
ks9982	F1c: Questionnaire completed by other
ks9984	DV: Number of contributors to questionnaire
ks9985	DV: Questionnaire completed by...
ks9990a	F2: Date of completion of questionnaire - month
ks9990b	F2: Date of completion of questionnaire - year
ks9990c	DV: Date of completion replaced with date of receipt
ks9991a	DV: Age of study child at completion (months)
ks9991b	DV: Age of study child at completion (weeks)
ku007	Questionnaire completed (as of 30/09/03)
ku008	Questionnaire version
ku180	A7a: Child looks forward to seeing teachers at school
ku181	A7b: Child enjoys school
ku182	A7c: Child is stimulated by school
ku183	A7d: Child is frightened by the teachers at school
ku184	A7e: Child is frightened by school mates at school
ku185	A7f: Child is afraid of failure at school
ku186	A7g: Child seems bored by school
ku187	A7h: Child likes school mates
ku188	A7i: Child looks forward to lessons at school
ku300	B3: Child is afraid of someone
ku301	B3a: Child is afraid of father or step father
ku302	B3b: Child is afraid of mother or step mother
ku303	B3c: Child is afraid of brother
ku304	B3d: Child is afraid of sister
ku305	B3e: Child is afraid of other relative
ku306	B3f: Child is afraid of neighbour
ku307	B3g: Child is afraid of teacher
ku308	B3h: Child is afraid of other children
ku309	B3i: Child is afraid of another
ku450	C1: People can understand almost everything child says
ku451	C2: People have trouble understanding much of what child says
ku452	C3: Child seldom makes any errors in producing speech sounds
ku453	C4: Child mispronounces one or two speech sounds but is not difficult to understand
ku454	C5: Child's production of speech sounds seems immature like a younger child
ku455	C6: Child seems unable to produce several sounds
ku456	C7: Child leaves off beginnings or ends of words or omits entire syllables
ku457	C8: Child is harder to understand when talking in sentences rather than single words
ku458	C9: Child's speech is extremely rapid
ku459	C10: Child has difficulty constructing speech/makes false starts/repeats words/phrases
ku460	C11: Child's words are clearly spoken and flow from one another
ku461	C12: Child's speech is mostly just two or three word phrases
ku462	C13: Child can produce long and complicated sentences
ku463	C14: Child tends to leave out words and grammatical endings
ku464	C15: Child sometimes makes mistakes with pronouns
ku465	C16: Child talks to anyone and everyone
ku466	C17: Child talks too much
ku467	C18: Child keeps telling people things they know already
ku468	C19: Child talks to self
ku469	C20: Child talks repetitively about things no one is interested in
ku470	C21: Child asks questions although already knows the answers
ku471	C22: Sometimes hard to make sense of what child says as it seems illogical/disconnected
ku472	C23: Conversation with child can be enjoyable and interesting
ku473	C24: Child can give an easy to follow account of a past event
ku474	C25: Child can talk clearly about what plans to do in the future
ku475	C26: Child would have difficulty in explaining to a younger child how to play a simple game
ku476	C27: Child has difficulty in telling a story or describing a sequence of events
ku477	C28: Child uses terms like he or it without making it clear what talking about
ku478	C29: Child doesn't realise need to explain what talking about to someone who doesn't share experience
ku479	C30: Child pronounces words in over precise manner - accent may sound rather affected
ku480	C31: Child makes frequent use of expressions
ku481	C32: Child will suddenly change topic of conversation
ku482	C33: Child turns conversation to favourite theme rather than following what other person's saying
ku483	C34: Conversation with child tends to go off in unexpected directions
ku484	C35: Child includes over precise information in his or her talk
ku485	C36: Child has favourite phrases/sentences, used sometimes in inappropriate situations
ku486	C37: Child sometimes seems to say things does not fully understand
ku487	C38: Child tends to repeat back what others have just said
ku488	C39: Child's ability to communicate clearly seems to vary from one situation to another
ku489	C40: Child takes in just one or two words in a sentence so often misinterprets what was said
ku490	C41: Child understands sarcasm
ku491	C42: Child tends to be over literal sometimes with unintentionally funny results
ku492	C43: Child gets in trouble as doesn't understand rules for polite behaviour, regarded as rude/strange
ku493	C44: Child may say things which are tactless or socially inappropriate
ku494	C45: Child treats everyone the same way regardless of social status
ku495	C46: Child ignores conversational overtures from others
ku496	C47: Child hardly ever starts up a conversation - does not volunteer information
ku497	C48: Child doesn't seem to read facial expressions/tone of voice so may not realise when others are upset/angry
ku498	C49: Child is poor at using facial expressions or gestures to convey feelings
ku499	C50: Child makes good use of gestures to get meaning across
ku500	C51: Child seldom or never looks at person talking and seems to avoid eye contact
ku501	C52: Child tends to look away from person talking and seems inattentive or preoccupied
ku502	C53: Child smiles appropriately when talking to people
ku660	E1: Child felt miserable or unhappy in past two weeks
ku661	E2: Child didnt enjoy anything at all in past two weeks
ku662	E3: Child felt so tired they just sat around and did nothing in past two weeks
ku663	E4: Child was restless in past two weeks
ku664	E5: Child felt was no good anymore in past two weeks
ku665	E6: Child cried a lot in past two weeks
ku666	E7: Child found it hard to think properly or concentrate in past two weeks
ku667	E8: Child hated itself in past two weeks
ku668	E9: Child felt was a bad person in past two weeks
ku669	E10: Child felt lonely in past two weeks
ku670	E11: Child thought nobody really loved them in past two weeks
ku671	E12: Child thought could never be as good as the other kids in past two weeks
ku672	E13: Child felt did everything wrong in past two weeks
ku680	F1: Child has been considerate of other people's feelings in past 6 months
ku681	F2: Child has been restless, overactive and cannot stay still for long in past 6 months
ku682	F3: Child has often complained of headaches, stomach aches or sickness in past 6 months
ku683	F4: Child has shared readily with other children in past 6 months
ku684	F5: Child has often had temper tantrums or hot tempers in past 6 months
ku685	F6: Child is rather solitary, tends to play alone in past 6 months
ku686	F7: Child is generally obedient, usually has done what adults request in past 6 months
ku687	F8: Child has many worries and often seemed worried in past 6 months
ku688	F9: Child is helpful if someone hurt, upset or feeling ill in past 6 months
ku689	F10: Child is constantly fidgeting or squirming in past 6 months
ku690	F11: Child has at least one good friend in past 6 months
ku691	F12: Child often fights with other children or bullies them in past 6 months
ku692	F13: Child is often unhappy, downhearted or tearful in past 6 months
ku693	F14: Child is generally liked by other children in past 6 months
ku694	F15: Child is easily distracted, concentration wandered in past 6 months
ku695	F16: Child is nervous or clingy in new situations and easily loses confidence in past 6 months
ku696	F17: Child is kinder to younger children in past 6 months
ku697	F18: Child often lies or cheats in past 6 months
ku698	F19: Child is picked on or bullied by other children in past 6 months
ku699	F20: Child often volunteers to help others in past 6 months
ku700	F21: Child thinks things out before acting in past 6 months
ku701	F22: Child steals from home school or elsewhere in past 6 months
ku702	F23: Child gets on better with adults than with other children in past 6 months
ku703	F24: Child has many fears and is easily scared in past 6 months
ku704	F25: Child sees tasks through to the end and has good attention span in past 6 months
ku762	G3c: Child had difficulty going to sleep in past year
ku980	K1a: Questionnaire completed by child's biological mother
ku981	K1b: Questionnaire completed by child's mother figure
ku982	K1c: Questionnaire completed by child's biological father
ku983	K1d: Questionnaire completed by study child
ku984	K1e: Questionnaire completed by someone else
ku986	DV: Number of contributors to questionnaire
ku987	DV: Questionnaire completed by...
ku990a	H2: Date of completion of questionnaire - month
ku990b	H2: Date of completion of questionnaire - year
ku990c	DV: Date of completion replaced with date of receipt
ku991a	DV: Age of study child at completion (months)
ku991b	DV: Age of study child at completion (weeks)
kv0007	Questionnaire completed (as of 31/08/07)
kv0007a	Data available (as of 31/08/07)
kv0008	Questionnaire version
kv4010	D2: In past month child has been particularly worried about separation from special person
kv4020	D3a: In past month child has often worried about something unpleasant happening to or losing special person
kv4021	D3b: In past month child has often worried about being taken away from special person
kv4022	D3c: In past month child has not wanted to go to school in case something bad happened to special person
kv4023	D3d: In past month child has worried about sleeping alone
kv4024	D3e: In past month child has left bed at night to check on or to sleep near special person
kv4025	D3f: In past month child has worried about sleeping in a strange place
kv4026	D3g: In past month child has been afraid  to be alone in room without special person
kv4027	D3h: In past month child has had bad dreams about separation from special person
kv4028	D3i: In past month child has felt ill when had to leave special person
kv4029	D3j: In past month child has become upset at being apart from special person
kv4040	D4a: Length of time child has had these worries
kv4041	D4b: Child was like this before the age of 6
kv4050	D5: Mothers assessment of how much these worries have upset child
kv4060	D6a: These worries have interfered with family relationships
kv4061	D6b: These worries have interfered with making or keeping friends
kv4062	D6c: These worries have interfered with learning or school work
kv4063	D6d: These worries have interfered with playing, hobbies, sports or other activities
kv4070	D7: These worries have put a burden on the family as a whole
kv4500	E1a: Child is scared of insects, spiders, wasps, bees, mice, snakes, birds or other creatures
kv4501	E1b: Child is scared of storms, thunder, heights or water
kv4502	E1c: Child is scared of blood, injections or injury
kv4503	E1d: Child is scared of dentists or doctors
kv4504	E1e: Child is scared of other specific situations
kv4505	E1f: Child is scared of the dark
kv4506	E1g: Child has other specific fear
kv4508	E1h: Child is not particularly scared of anything
kv4510	E2: Childs fears are a nuisance to child, Mother or someone else
kv4520	E3: Length of time child has had these fears
kv4530	E4a: Child becomes upset when encounters fears
kv4531	E4b: Child has this reaction every time encounters fears
kv4532	E4c: Frequency fears results in child becoming upset
kv4540	E5a: Fears lead to child avoiding things
kv4541	E5b: Avoidance interferes with everyday life
kv4550	E6a: Child recognises fears as excessive or unreasonable
kv4551	E6b: Child is upset at having fears
kv4560	E7: Childs fears have put a burden on family as a whole
kv5000	F1: Overall child fears or avoids situations involving lots of people
kv5010	F2a: In past month child has been afraid of meeting new people
kv5011	F2b: In past month child has been afraid of meeting a lot of people
kv5012	F2c: In past month child has been afraid of speaking in class
kv5013	F2d: In past month child has been afraid of reading out loud in front of others
kv5014	F2e: In past month child has been afraid of writing in front of others
kv5015	F2f: In past month child has been afraid of eating in front of others
kv5020	F3: Child fears are related to separation from special person or child is afraid even with special people
kv5030	F4: Child is afraid in situations with adults or with children
kv5040	F5: Outside of these situations child gets on well with well known people
kv5050	F6a: Child's dislike of these situations are related to fear of embarrassment
kv5051	F6b: Child's dislike of these situations are related to speech, reading or writing problems
kv5060	F7a: Length of time child has had these fears
kv5061	F7b: Age of child when fears began
kv5070	F8: Level of child's anxiety when in, or about to be in one of these situations
kv5080	F9: Frequency that child becomes upset like this
kv5090	F10a: Fears result in child avoiding situations
kv5091	F10b: Avoidance interferes with child's daily life
kv5092	F10c: Child recognises fears as excessive or unreasonable
kv5093	F10d: Child is upset at having fear
kv5100	F11: Child fear of these situations has put a burden on family as a whole
kv5500	G1: Child has ever experienced something traumatic
kv5502	G1b: Age of child when had this experience
kv5510	G2: Child was very distressed and behaviour changed at time of experience
kv5520	G3: Traumatic experience is affecting child now
kv5530	G4a: In past month child has had vivid memories of event
kv5531	G4b: In past month child has had repeating distressing dreams of event
kv5532	G4c: In past month child has been upset when reminded of event
kv5533	G4d: In past month child has avoided thinking about event
kv5534	G4e: In past month child has avoided activities, places or people that remind of event
kv5535	G4f: In past month child has blocked out important details of event from memory
kv5536	G4g: In past month child has shown less activity in activities
kv5537	G4h: In past month child has expressed smaller range of feelings
kv5538	G4i: In past month child has had problems sleeping
kv5539	G4j: In past month child has seemed irritable or angry
kv5540	G4k: In past month child has had difficulty concentrating
kv5541	G4l: In past month child has always been on the alert for possible danger
kv5542	G4m: In past month child has jumped at small noises
kv5550	G5: Length of time after event that these events began
kv5560	G6: Length of time child has had these problems
kv5570	G7: Child is distressed by these problems
kv5580	G8a: These problems have interfered with child's relationship with Mother and family
kv5581	G8b: These problems have interfered with child making and keeping friends
kv5582	G8c: These problems have interfered with learning or school work
kv5583	G8d: These problems have interfered with playing, hobbies, sports or other activities
kv5590	G9: These problems have put a burden on the family as a whole
kv6000	H1: Child has rituals, obsessions that upset her and interferes with everyday life
kv6010	H2a: In past month child has cleaned excessively
kv6011	H2b: In past month child has taken other measures to avoid dirt, germs or poison
kv6012	H2c: In past month child has checked things repeatedly
kv6013	H2d: In past month child has repeated actions many times in a row
kv6014	H2e: In past month child has been touching things or people in particular ways
kv6015	H2f: In past month child has arranged things in a particular way or so that they are symmetrical
kv6016	H2g: In past month child has counted to lucky numbers or avoiding unlucky numbers
kv6017	H2h: In past month child has been doing anything else
kv6020	H3a: In past month child has been concerned about dirt, germs or poison
kv6021	H3b: In past month child has been concerned that something bad will happen
kv6040	H5: Compulsions or obsessions are present on most days over period of 2 weeks
kv6050	H6: Child recognises behaviour as excessive or unreasonable
kv6060	H7: Child tries not to do them or think about them
kv6070	H8: Child becomes upset because child has to do or think these things
kv6080	H9: Child thoughts or actions last at least an hour each day
kv6090	H10a: These acts or thoughts have interfered with family relationships
kv6091	H10b: These acts or thoughts have interfered with making or keeping friends
kv6092	H10c: These acts or thoughts have interfered with learning or school work
kv6093	H10d: These acts or thoughts have interfered with playing, hobbies, sports or other activities
kv6100	H11: These problems have put a burden on the family as a whole
kv6500	J1: Child worries
kv6510	J2: Child has had other worries in past 6 months that have interfered with life
kv6520	J3a: Child worries about past behaviour
kv6521	J2b: Child worries about school work
kv6522	J3c: Child worries about disasters
kv6523	J3d: Child worries about own health
kv6524	J3e: Child worries about bad things happening to others
kv6525	J3f: Child worries about the future
kv6526	J3g: Child worries about other things
kv6530	J4: In past 6 months child has worried excessively on more days than not
kv6540	J5: Child finds it difficult to control worries
kv6550	J6a: Worries lead to child being restless, tense or on edge
kv6551	J6b: Worries lead to child being easily tired
kv6552	J6c: Worries lead to difficulties in concentrating
kv6553	J6d: Worries lead to irritability
kv6554	J6e: Worries lead to child looking tense
kv6555	J6f: Worries interfere with sleep
kv6560	J7: Degree of upset caused by worries
kv6570	J8a: Worries have interfered with family relationships
kv6571	J8b: Worries have interfered with making and keeping friends
kv6572	J8c: Worries have interfered with learning and school work
kv6573	J8d: Worries have interfered with playing, hobbies, sports or other activities
kv6580	J9: Worries have put a burden on the family as a whole
kv7000	K1: In past month child has been very sad
kv7001	K1a: In past month there was a period when child was very miserable every day
kv7002	K1b: During this period child was miserable for most of the day
kv7003	K1c: Length of time period lasted
kv7004	K1d: Mother knows what caused period of sadness
kv7006	K1f: Child could be cheered up during this period
kv7010	K2: In past month child has been grumpy or irritable in a way that was out of character
kv7011	K3a: In past month there was a period when child was very grumpy every day
kv7012	K3b: During this period child was grumpy for most of day
kv7013	K3c: Length of time this period lasted
kv7014	K3d: Mother knows cause of period irritability
kv7016	K3f: Irritability was improved by particular activities
kv7020	K4: In past month there have been times when child lost interest in everything
kv7021	K4a: In past month there was period when child lost interest everyday
kv7022	K4b: During this period child was like this for most of day
kv7023	K4c: Length of time child lost interest
kv7024	K4d: Loss of interest occurred at same time as child was grumpy
kv7030	K5: In past month child has been miserable, irritable or lacked interest in things
kv7031	K5a: In past month child seemed tired all the time
kv7032	K5b: In past month child was eating much more or less
kv7033	K5c: In past month child either lost or gained a lot of weight
kv7034	K5d: In past month child found sleeping hard
